index,input,acp
69,"During the review phase, reviewer may submit a review for paper if reviewer is assigned to review paper.",1
70,"During the meeting phase, reviewer can read the scores for paper if reviewer has submitted a review for paper.",1
71,"In the current paper system, all the information stored about a resident is accessible to the resident by arrangement with the manager.",1
72,Supervisor can not  execute the write a check use case.,1
73,"For example, a user should not record and verify the same invoice.",1
74,A subject cannot review a project he or she has submitted.,1
75,A subject cannot approve projects he or she has reviewed or submitted.,1
76,Authors of papers cannot be changed.,1
77,"The PC chair can assign a paper to a PC member for reviewing, except if he is one of its authors.",1
78,"A reviewer of a paper can resign, unless he has already appointed a sub-reviewer for the paper.",1
79,"A sub-reviewer can resign, unless he has already submitted his review.",1
80,There do not exist members of Student who can Assign ExternalGrades.,1
81,No combination of roles exists such that a user with those roles can both Receive and Assign the resource ExternalGrades.,1
82,"If the subject is a student, then do not permit that subject to assign grades.",1
83,"So, for example, the manager should be made aware of repeated attempts by a health care worker to access information beyond their rights.",1
84,The doctor then has temporary access to the resident’s medical records.,1
85,In an electronic system we can allow residents to hook into the network at any time as long as they can view only their own data and cannot make arbitrary changes.,1
86,This critical task should not be performed by a single user.,1
87,"However, it should not perform these operations when it is loading medicines to the medicine dispenser.",1
88,An administrator shall not be permitted to read or write to medical elements of a patient record.,1
89,There do not exist members of STUDENT who can ASSIGN EXTERNALGRADES.,1
90,There exists no combination of roles such that a user with those roles can both RECEIVE and ASSIGN the resource EXTERNALGRADES.,1
91,"If a subject is not a pc-chair or admin, then he or she may not set the meeting flag.",1
92,"If someone is not a pc-chair or admin, then he or she can never see paper-review-rc for which he or she is conflicted.",1
93,Authors may never read scores.,1
94,Doctors need not sign a confidentiality agreement since they are bound by a code of professional conduct.,1
95,Requests for students to Receive ExternalGrades,1
96,"faculty to Assign and View both InternalGrades and ExternalGrades, will succeed.",1
97,Only the manager is allowed to add a new resident to the system and,1
98,Only the manager is allowed to start or update the care plan of a resident.,1
99,Their main form of access is to view the care plan for each resident,1
100,Their main form of access is to add progress note entries based on their observations.,1
101,A visiting doctor has access to all the medical information of residents who are his or her patients,1
102,A visiting doctor can add entries to patients medical records.,1
103,Managers can read and set ordinary employees’ bonuses.,1
104,but not those of other managers or the director can read and set ordinary employees’ bonuses,1
105,Every subject in the hierarchy can submit a project.,1
106,except the business office manager can submit a project,1
107,Every professor can review a project.,1
108,"except assistant professors, can review a project",1
109,All PC members know who are the reviewers for this paper.,1
110,author(s) of a paper can not know who are the reviewers for this paper,1
111,TA can view and assign InternalGrades,1
112,"TA can not view and assign  ExternalGrades (since faculty must take final responsibility for all external grades), combined with Pol3.",1
113,"Although she can enter the past medical records when a resident is admitted,",1
114,she cannot subsequently add medical entries to the system.,1
115,"Also, she cannot view the private notes of doctors",1
116,clearly she cannot sign the legal agreement on behalf of a resident.,1
117,Health care workers can view recent medical records of residents (up to one year old),1
118,Health care workers cannot normally view older medical information.,1
119,"Doctors also can add private notes about a resident, which, on the basis of doctor-patient confidentiality.",1
120,"Private notes about a resident, which, on the basis of doctor-patient confidentiality, are not visible to health care staff or the manager.",1
121,Pharmacy System should not read patient records,1
122,Pharmacy System can read patient medicine orders.,1
123,"Users can view an Owner's account,",1
124,Users can not make changes to Owner's account,1
125,Only administrators make changes to a resource's security label.,1
126,not data owners make changes to a resource's security label.,1
127,Owners cannot change any data,1
128,Owners can read data all.,1
129,The doctor does not have temporary access to the private notes of the resident’s usual doctor,1
130,No user should perform more than one use case on each object.,0
131,"For example, according to Figure 2, supervisor role inherits purchasing officer’s permissions and purchasing officer inherits clerk’s permissions.",0
132,In our case study this means that the residents themselves must also be regarded as principals for whom we define access rights.,0
133,"Because of the physical access control in the current paper system, the manager has an overview of who has accessed what information.",0
134,"A bonus package with a fixed number of options, such as a-day-off, is available for employees.",0
135,It is used to enforce authorisation rules on bonus allocation among the employees of a company.,0
136,Each use case should be executed by an actor playing an authorized role(s) as shown in Figure 1.,0
137,Access is authorized or restricted to objects based on the time of day depending on the labeling on the resource and the user's credentials (driven by policy).,0
138,The principals involved in an information system are usually thought of as staff members of a certain organisation.,0
139,Access to information is determined based on authorizations to access control lists based on user identifier and group membership.,0
140,"In addition, the role hierarchy implicitly authorizes a specialized role to inherit permissions.",0
141,The need to make this arrangement is only to allow the manager and resident to set a time that is convenient to both of them.,0
142,"Use cases such as record invoice arrival, verify invoice validity, authorize payment and write a check are to be applied in the specified order.",0
143,"All data is assigned security level that reflects its relative sensitivity, confidentiality, and protection value.",0
144,Subreviewers are known to all PC members who are not authors of the respective papers.,0
145,"Access is authorized or restricted to objects based on the security characteristics of the HTTP client (e.g. SSL bit length, version information, originating IP address or domain, etc.)",0
146,A subject cannot belong to more than one role.,0
147,PC members and authors of papers are known to everybody.,0
148,This one type of Dynamic Separation of Duty (DSOD) policy.,0
149,"Loading medicines to medicine dispenser, creating medicine order and picking medicines from the medicine dispenser are operations forming a critical task.",0
150,Privacy laws require that the information be held for a certain period after a resident leaves the facility.,0
151,This period is seven years for someone who is not of Aboriginal or Torres Strait Islander descent and nine years for someone who is.,0
152,Special add-on or plug-in software required to apply to an HTTP client to prevent indiscriminant copying by users (cutting and pasting of information),0
153,"In the current paper-based system, this is prevented by requiring that any new entry be signed by the doctor making that entry.",0
154,This policy is claimed to prevent fraud and errors.,0
155,Repetitive authorization failures to access the same resource or object generates an alarm possibly and possibly restricts the user's access,0
156,In an electronic system this overview must be supplied by some form of logging of accesses and access attempts.,0
157,"Clearly, the manager does not wish to be informed about every access but some logging is still necessary.",0
