ID,Source,Sentence,temporal_gold,spatial_gold,temporal_OK,spatial_OK,temporal_final,spatial_final,note,annotator,status
P0033,policy_dataset,Faculty members can delete and access exam grades between 8am and 5pm.,between 8 am and 5 pm,,LLM_MOCK,LLM_MOCK,between 8 am and 5 pm,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0034,policy_dataset,Department heads can view and delete network configurations via a secure VPN.,,via a secure VPN,LLM_MOCK,LLM_MOCK,,via a secure VPN,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0035,policy_dataset,IT support staff can audit thesis submissions via a secure VPN.,,via a secure VPN,LLM_MOCK,LLM_MOCK,,via a secure VPN,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0036,policy_dataset,Training department staff can view course materials at the cryptography lab.,,at the cryptography lab,LLM_MOCK,LLM_MOCK,,at the cryptography lab,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0037,policy_dataset,Guest users can approve and upload exam grades on weekends.,on weekends,,LLM_MOCK,LLM_MOCK,on weekends,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0038,policy_dataset,Managers can view student records using internal devices.,,using internal devices,LLM_MOCK,LLM_MOCK,,using internal devices,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0039,policy_dataset,Librarians can modify system logs after the exam period.,after the exam period,,LLM_MOCK,LLM_MOCK,after the exam period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0040,policy_dataset,VACT students can view exam grades using internal devices.,,using internal devices,LLM_MOCK,LLM_MOCK,,using internal devices,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0041,policy_dataset,Lecturers can delete and update research papers via a secure VPN.,,via a secure VPN,LLM_MOCK,LLM_MOCK,,via a secure VPN,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0042,policy_dataset,Students can modify and configure cryptography datasets from external IP addresses.,,from external IP addresses,LLM_MOCK,LLM_MOCK,,from external IP addresses,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0043,policy_dataset,Researchers can submit and download personnel files using internal devices via a secure VPN.,,using internal devices,LLM_MOCK,LLM_MOCK,,using internal devices,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0044,policy_dataset,Training department staff can access and review thesis submissions between 8am and 5pm outside the campus.,between 8 am and 5 pm,outside the campus,LLM_MOCK,LLM_MOCK,between 8 am and 5 pm,outside the campus,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0045,policy_dataset,Guest users can configure and modify network configurations through an encrypted channel.,,through an encrypted channel,LLM_MOCK,LLM_MOCK,,through an encrypted channel,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0046,policy_dataset,Lecturers can audit course materials during the night shift.,during the night shift,,LLM_MOCK,LLM_MOCK,during the night shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0047,policy_dataset,Faculty members can delete thesis submissions after the exam period.,after the exam period,,LLM_MOCK,LLM_MOCK,after the exam period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0048,policy_dataset,Faculty members can audit and upload network configurations within the VACT intranet.,,within the VACT intranet,LLM_MOCK,LLM_MOCK,,within the VACT intranet,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0049,policy_dataset,Training department staff can download cryptography datasets from the campus network.,,from the campus network,LLM_MOCK,LLM_MOCK,,from the campus network,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0050,policy_dataset,Managers can view exam grades via trusted platforms.,,via trusted platforms,LLM_MOCK,LLM_MOCK,,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0051,policy_dataset,Lecturers can configure student records during the registration period.,during the registration period,,LLM_MOCK,LLM_MOCK,during the registration period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0052,policy_dataset,Lecturers can delete library resources using authorized workstations.,,using authorized workstations,LLM_MOCK,LLM_MOCK,,using authorized workstations,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0053,policy_dataset,IT support staff can download thesis submissions through an encrypted channel during business hours.,during business hours,through an encrypted channel,LLM_MOCK,LLM_MOCK,during business hours,through an encrypted channel,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0054,policy_dataset,VACT students can download and view exam schedules during the registration period.,during the registration period,,LLM_MOCK,LLM_MOCK,during the registration period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0055,policy_dataset,IT support staff can configure research papers before the deadline.,before the deadline,,LLM_MOCK,LLM_MOCK,before the deadline,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0056,policy_dataset,Training department staff can review and access exam schedules through an encrypted channel via a secure VPN.,,via a secure VPN,LLM_MOCK,LLM_MOCK,,via a secure VPN,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0057,policy_dataset,Lecturers can review cryptography datasets between 8am and 5pm during business hours.,during business hours,,LLM_MOCK,LLM_MOCK,during business hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0058,policy_dataset,System administrators can review system logs using authorized workstations.,,using authorized workstations,LLM_MOCK,LLM_MOCK,,using authorized workstations,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0059,policy_dataset,Librarians can configure exam grades during the registration period.,during the registration period,,LLM_MOCK,LLM_MOCK,during the registration period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0060,policy_dataset,Department heads can audit and upload network configurations during the registration period.,during the registration period,,LLM_MOCK,LLM_MOCK,during the registration period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0061,policy_dataset,Managers can access library resources during the night shift.,during the night shift,,LLM_MOCK,LLM_MOCK,during the night shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0062,policy_dataset,Department heads can configure cryptography datasets during the registration period during the night shift.,during the night shift,,LLM_MOCK,LLM_MOCK,during the night shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0063,policy_dataset,Managers can modify cryptography datasets outside the campus.,,outside the campus,LLM_MOCK,LLM_MOCK,,outside the campus,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0064,policy_dataset,Librarians can review personnel files within the VACT intranet at nighttime.,at nighttime,within the VACT intranet,LLM_MOCK,LLM_MOCK,at nighttime,within the VACT intranet,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0065,policy_dataset,Lecturers can submit exam grades during the night shift before the deadline.,before the deadline,,LLM_MOCK,LLM_MOCK,before the deadline,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0066,policy_dataset,Guest users can upload and delete system logs during the night shift via trusted platforms.,during the night shift,via trusted platforms,LLM_MOCK,LLM_MOCK,during the night shift,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0067,policy_dataset,Librarians can upload system logs within the VACT intranet at the cryptography lab.,,at the cryptography lab,LLM_MOCK,LLM_MOCK,,at the cryptography lab,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0068,policy_dataset,Librarians can review and download network configurations during business hours.,during business hours,,LLM_MOCK,LLM_MOCK,during business hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0069,policy_dataset,System administrators can audit system logs at the headquarters building.,,at the headquarters building,LLM_MOCK,LLM_MOCK,,at the headquarters building,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0070,policy_dataset,Managers can upload and review cryptography datasets through an encrypted channel.,,through an encrypted channel,LLM_MOCK,LLM_MOCK,,through an encrypted channel,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0071,policy_dataset,Training department staff can download exam grades during business hours through an encrypted channel.,during business hours,through an encrypted channel,LLM_MOCK,LLM_MOCK,during business hours,through an encrypted channel,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0072,policy_dataset,VACT students can review personnel files before the deadline at the cryptography lab.,before the deadline,at the cryptography lab,LLM_MOCK,LLM_MOCK,before the deadline,at the cryptography lab,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0073,policy_dataset,Security officers can upload thesis submissions on weekends.,on weekends,,LLM_MOCK,LLM_MOCK,on weekends,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0074,policy_dataset,Researchers can configure system logs outside the campus.,,outside the campus,LLM_MOCK,LLM_MOCK,,outside the campus,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0075,policy_dataset,Researchers can configure research papers from external IP addresses.,,from external IP addresses,LLM_MOCK,LLM_MOCK,,from external IP addresses,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0076,policy_dataset,System administrators can audit thesis submissions using internal devices.,,using internal devices,LLM_MOCK,LLM_MOCK,,using internal devices,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0077,policy_dataset,Researchers can download student records via trusted platforms.,,via trusted platforms,LLM_MOCK,LLM_MOCK,,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0078,policy_dataset,Department heads can update financial reports before the deadline.,before the deadline,,LLM_MOCK,LLM_MOCK,before the deadline,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0079,policy_dataset,Managers can approve research papers from the campus network.,,from the campus network,LLM_MOCK,LLM_MOCK,,from the campus network,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0080,policy_dataset,Security officers can audit library resources during the night shift.,during the night shift,,LLM_MOCK,LLM_MOCK,during the night shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0081,policy_dataset,Training department staff can delete research papers during the night shift.,during the night shift,,LLM_MOCK,LLM_MOCK,during the night shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0082,policy_dataset,Faculty members can view and update financial reports via trusted platforms.,,via trusted platforms,LLM_MOCK,LLM_MOCK,,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0083,policy_dataset,Guest users can submit student records during business hours.,during business hours,,LLM_MOCK,LLM_MOCK,during business hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0084,policy_dataset,Managers can view cryptography datasets through an encrypted channel.,,through an encrypted channel,LLM_MOCK,LLM_MOCK,,through an encrypted channel,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0085,policy_dataset,VACT students can delete course materials using authorized workstations.,,using authorized workstations,LLM_MOCK,LLM_MOCK,,using authorized workstations,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0086,policy_dataset,VACT students can audit library resources using authorized workstations through an encrypted channel.,,using authorized workstations,LLM_MOCK,LLM_MOCK,,using authorized workstations,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0087,policy_dataset,VACT students can update and delete research papers via a secure VPN using authorized workstations.,,using authorized workstations,LLM_MOCK,LLM_MOCK,,using authorized workstations,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0088,policy_dataset,Security officers can download and view network configurations during the night shift.,during the night shift,,LLM_MOCK,LLM_MOCK,during the night shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0089,policy_dataset,IT support staff can download student records outside the campus.,,outside the campus,LLM_MOCK,LLM_MOCK,,outside the campus,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0090,policy_dataset,Lecturers can modify research papers during the registration period.,during the registration period,,LLM_MOCK,LLM_MOCK,during the registration period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0091,policy_dataset,Lecturers can submit cryptography datasets using authorized workstations.,,using authorized workstations,LLM_MOCK,LLM_MOCK,,using authorized workstations,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0092,policy_dataset,Training department staff can submit cryptography datasets via trusted platforms during business hours.,during business hours,via trusted platforms,LLM_MOCK,LLM_MOCK,during business hours,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0093,policy_dataset,Managers can audit and submit cryptography datasets at the cryptography lab.,,at the cryptography lab,LLM_MOCK,LLM_MOCK,,at the cryptography lab,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0094,policy_dataset,Librarians can configure and submit personnel files during the night shift via a secure VPN.,during the night shift,via a secure VPN,LLM_MOCK,LLM_MOCK,during the night shift,via a secure VPN,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0095,policy_dataset,Guest users can access cryptography datasets from external IP addresses.,,from external IP addresses,LLM_MOCK,LLM_MOCK,,from external IP addresses,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0096,policy_dataset,Guest users can modify thesis submissions from external IP addresses.,,from external IP addresses,LLM_MOCK,LLM_MOCK,,from external IP addresses,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0097,policy_dataset,Security officers can access course materials during the registration period.,during the registration period,,LLM_MOCK,LLM_MOCK,during the registration period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0098,policy_dataset,System administrators can access system logs before the deadline.,before the deadline,,LLM_MOCK,LLM_MOCK,before the deadline,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0099,policy_dataset,Department heads can submit system logs at the headquarters building within the VACT intranet.,,within the VACT intranet,LLM_MOCK,LLM_MOCK,,within the VACT intranet,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0100,policy_dataset,Guest users can access and modify personnel files at the cryptography lab.,,at the cryptography lab,LLM_MOCK,LLM_MOCK,,at the cryptography lab,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0101,policy_dataset,Managers can review exam grades during the night shift before the deadline.,before the deadline,,LLM_MOCK,LLM_MOCK,before the deadline,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0102,policy_dataset,Faculty members can modify student records on weekends.,on weekends,,LLM_MOCK,LLM_MOCK,on weekends,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0103,policy_dataset,A student reads his transcript during office hours,during office hours,,LLM_MOCK,LLM_MOCK,during office hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0104,policy_dataset,A student checks application status on the campus portal,on the campus portal,on the campus portal,LLM_MOCK,LLM_MOCK,on the campus portal,on the campus portal,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0105,policy_dataset,An instructor updates a gradebook during the semester,during the semester,,LLM_MOCK,LLM_MOCK,during the semester,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0106,policy_dataset,A teaching assistant modifies course grades in the lab,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0107,policy_dataset,A registrar officer accesses transcripts during working hours,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0108,policy_dataset,An admissions officer reviews applications in the admissions office,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0109,policy_dataset,A department chair views course schedules during meetings,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0110,policy_dataset,A student reads course schedules in the library,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0111,policy_dataset,An instructor assigns grades during exam period,during exam period,,LLM_MOCK,LLM_MOCK,during exam period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0112,policy_dataset,A teaching assistant reviews submissions at night,at night,,LLM_MOCK,LLM_MOCK,at night,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0113,policy_dataset,A registrar officer updates a transcript during office hours,during office hours,,LLM_MOCK,LLM_MOCK,during office hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0114,policy_dataset,An instructor reads a course schedule in the faculty lounge,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0115,policy_dataset,A department chair assigns grades during the grading period,during the grading period,,LLM_MOCK,LLM_MOCK,during the grading period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0116,policy_dataset,An admissions officer checks application status in the office,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0117,policy_dataset,A student updates an application during the enrollment window,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0118,policy_dataset,A teaching assistant reads a gradebook in the classroom,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0119,policy_dataset,A registrar officer checks status of applications during work,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0120,policy_dataset,An instructor views a transcript during advising sessions,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0121,policy_dataset,A department chair updates course schedules in the department A student reads a course schedule during registration,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0122,policy_dataset,A student reads his transcript during office hours from the campus network,during office hours,from the campus network,LLM_MOCK,LLM_MOCK,during office hours,from the campus network,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0123,policy_dataset,An instructor updates a gradebook during the semester in the faculty office,during the semester,,LLM_MOCK,LLM_MOCK,during the semester,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0124,policy_dataset,An admissions officer processes applications during business hours from the admissions system,during business hours,from the admissions system,LLM_MOCK,LLM_MOCK,during business hours,from the admissions system,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0125,policy_dataset,A registrar officer accesses transcripts during working hours in the registrar office,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0126,policy_dataset,A teaching assistant modifies grades at night from the lab network,at night,from the lab network,LLM_MOCK,LLM_MOCK,at night,from the lab network,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0127,policy_dataset,A department chair reviews schedules during meetings in the department building,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0128,policy_dataset,A registrar officer updates a transcript during working hours from the registrar system,during working hours,from the registrar system,LLM_MOCK,LLM_MOCK,during working hours,from the registrar system,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0129,policy_dataset,An instructor reads course schedules during the semester in the department office,during the semester,,LLM_MOCK,LLM_MOCK,during the semester,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0130,policy_dataset,A department chair assigns grades during the exam period from the faculty network,during the exam period,from the faculty network,LLM_MOCK,LLM_MOCK,during the exam period,from the faculty network,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
